id,Width,height,Ratio(Width),Ratio(Height),Size 1,Our Actual Size,Size 2,Our Actual Size,Size 3,Our Actual Size,Size 4,Our Actual Size,Size 5,Our Actual Size,Width(Inch),Height(Inch)
FLPT_CS_1201.JPG,3492,5100,291,425,12,8.216470588,16,10.95529412,24,16.43294118,32,21.91058824,40,27.38823529,34.92,51
FLPT_PT_0183.JPG,5197,3451,5197,3451,12,18.07128369,16,24.09504491,24,36.14256737,32,48.19008983,40,60.23761229,51.97,34.51
FLPT_GP_0501.JPG,5100,3825,4,3,12,16,16,21.33333333,24,32,32,42.66666667,40,53.33333333,51,38.25
FLPT_MAM_0125.JPG,3418,5146,1709,2573,12,7.970462495,16,10.62728333,24,15.94092499,32,21.25456665,40,26.56820832,34.18,51.46
FLPT_GP_0568.JPG,3413,5120,3413,5120,12,7.99921875,16,10.665625,24,15.9984375,32,21.33125,40,26.6640625,34.13,51.2
FLPT_PB_F20.JPG,4800,3749,4800,3749,12,15.36409709,16,20.48546279,24,30.72819419,32,40.97092558,40,51.21365698,48,37.49
FLPT_BK_0202.JPG,5130,3407,5130,3407,12,18.06868213,16,24.09157617,24,36.13736425,32,48.18315233,40,60.22894042,51.3,34.07
FLPT_TIS_127.JPG,3704,4753,3704,4753,12,9.351567431,16,12.46875657,24,18.70313486,32,24.93751315,40,31.17189144,37.04,47.53
FLPT_PT_0131.JPG,3683,4777,3683,4777,12,9.251831694,16,12.33577559,24,18.50366339,32,24.67155118,40,30.83943898,36.83,47.77
FLPT_JCB_0211.JPG,3420,5128,855,1282,12,8.003120125,16,10.67082683,24,16.00624025,32,21.34165367,40,26.67706708,34.2,51.28
FLPT_SK_0526.JPG,3407,5130,3407,5130,12,7.969590643,16,10.62612086,24,15.93918129,32,21.25224172,40,26.56530214,34.07,51.3
FLPT_JN_0076.JPG,4045,5100,809,1020,12,9.517647059,16,12.69019608,24,19.03529412,32,25.38039216,40,31.7254902,40.45,51
FLPT_TIS_14.JPG,3719,4699,3719,4699,12,9.49733986,16,12.66311981,24,18.99467972,32,25.32623963,40,31.65779953,37.19,46.99
FLPT_CS_2351.JPG,3812,5100,953,1275,12,8.969411765,16,11.95921569,24,17.93882353,32,23.91843137,40,29.89803922,38.12,51
FLPT_MPK_0711.JPG,5120,3413,5120,3413,12,18.00175798,16,24.00234398,24,36.00351597,32,48.00468796,40,60.00585995,51.2,34.13
FLPT_CS_1897.JPG,3984,5100,332,425,12,9.374117647,16,12.49882353,24,18.74823529,32,24.99764706,40,31.24705882,39.84,51
FLPT_CS_C07_5220.JPG,3736,5150,1868,2575,12,8.705242718,16,11.60699029,24,17.41048544,32,23.21398058,40,29.01747573,37.36,51.5
FLPT_DR_0099.JPG,5190,3368,2595,1684,12,18.49168646,16,24.65558195,24,36.98337292,32,49.3111639,40,61.63895487,51.9,33.68
FLPT_CS_C06_0825.JPG,3408,5174,1704,2587,12,7.904136065,16,10.53884809,24,15.80827213,32,21.07769617,40,26.34712022,34.08,51.74
FLPT_CS_630.JPG,3868,5100,967,1275,12,9.101176471,16,12.13490196,24,18.20235294,32,24.26980392,40,30.3372549,38.68,51
FLPT_CS_2136.JPG,3462,5100,577,850,12,8.145882353,16,10.86117647,24,16.29176471,32,21.72235294,40,27.15294118,34.62,51
FLPT_MPK_0948.JPG,3489,5100,1163,1700,12,8.209411765,16,10.94588235,24,16.41882353,32,21.89176471,40,27.36470588,34.89,51
FLPT_JP_0131.JPG,3416,5141,3416,5141,12,7.973546003,16,10.63139467,24,15.94709201,32,21.26278934,40,26.57848668,34.16,51.41
FLPT_CS_C08_3964.JPG,5100,3558,850,593,12,17.20067454,16,22.93423272,24,34.40134907,32,45.86846543,40,57.33558179,51,35.58
FLPT_JR_44.JPG,3470,5215,694,1043,12,7.984659636,16,10.64621285,24,15.96931927,32,21.2924257,40,26.61553212,34.7,52.15
FLPT_SI_0623.JPG,5130,3421,5130,3421,12,17.99473838,16,23.99298451,24,35.98947676,32,47.98596901,40,59.98246127,51.3,34.21
FLPT_AB_18.JPG,4550,4434,2275,2217,12,12.31393775,16,16.41858367,24,24.62787551,32,32.83716734,40,41.04645918,45.5,44.34
FLPT_CS_1883.JPG,3469,5051,3469,5051,12,8.241536329,16,10.98871511,24,16.48307266,32,21.97743021,40,27.47178776,34.69,50.51
FLPT_SK_0440.JPG,3427,5120,3427,5120,12,8.03203125,16,10.709375,24,16.0640625,32,21.41875,40,26.7734375,34.27,51.2
FLPT_SUB_0154.JPG,5130,3407,5130,3407,12,18.06868213,16,24.09157617,24,36.13736425,32,48.18315233,40,60.22894042,51.3,34.07
FLPT_CS_C08_4787.JPG,3448,5150,1724,2575,12,8.034174757,16,10.71223301,24,16.06834951,32,21.42446602,40,26.78058252,34.48,51.5
FLPT_MAM_0065.JPG,5146,3418,2573,1709,12,18.06670568,16,24.0889409,24,36.13341135,32,48.1778818,40,60.22235225,51.46,34.18
FLPT_PST_0067.JPG,5076,3450,846,575,12,17.65565217,16,23.54086957,24,35.31130435,32,47.08173913,40,58.85217391,50.76,34.5
FLPT_BK_53.JPG,4550,4494,325,321,12,12.14953271,16,16.19937695,24,24.29906542,32,32.39875389,40,40.49844237,45.5,44.94
FLPT_CS_C06_2844.JPG,5150,3448,2575,1724,12,17.92343387,16,23.89791183,24,35.84686775,32,47.79582367,40,59.74477958,51.5,34.48
FLPT_RM_106.JPG,3373,5206,3373,5206,12,7.774875144,16,10.36650019,24,15.54975029,32,20.73300038,40,25.91625048,33.73,52.06
FLPT_CS_C08_3338.JPG,3421,5110,3421,5110,12,8.033659491,16,10.71154599,24,16.06731898,32,21.42309198,40,26.77886497,34.21,51.1
FLPT_CS_2615.JPG,3417,5166,1139,1722,12,7.93728223,16,10.58304297,24,15.87456446,32,21.16608595,40,26.45760743,34.17,51.66
FLPT_SI_0252.JPG,3413,5120,3413,5120,12,7.99921875,16,10.665625,24,15.9984375,32,21.33125,40,26.6640625,34.13,51.2
FLPT_CS_X37.JPG,5148,3400,1287,850,12,18.16941176,16,24.22588235,24,36.33882353,32,48.45176471,40,60.56470588,51.48,34
FLPT_MPK_0717.JPG,5120,3413,5120,3413,12,18.00175798,16,24.00234398,24,36.00351597,32,48.00468796,40,60.00585995,51.2,34.13
FLPT_SK_0138.JPG,3377,5196,3377,5196,12,7.799076212,16,10.39876828,24,15.59815242,32,20.79753657,40,25.99692071,33.77,51.96
FLPT_GC_0464.JPG,3403,5174,3403,5174,12,7.892539621,16,10.52338616,24,15.78507924,32,21.04677232,40,26.3084654,34.03,51.74
FLPT_CL_0136.JPG,3413,5120,3413,5120,12,7.99921875,16,10.665625,24,15.9984375,32,21.33125,40,26.6640625,34.13,51.2
FLPT_JK_FV24.JPG,3668,4808,917,1202,12,9.154742097,16,12.2063228,24,18.30948419,32,24.41264559,40,30.51580699,36.68,48.08
FLPT_GP_0227.JPG,5231,3364,5231,3364,12,18.65992866,16,24.87990488,24,37.31985731,32,49.75980975,40,62.19976219,52.31,33.64
FLPT_CS_C08_7899.JPG,3448,5150,1724,2575,12,8.034174757,16,10.71223301,24,16.06834951,32,21.42446602,40,26.78058252,34.48,51.5
FLPT_SK_0395.JPG,3421,5110,3421,5110,12,8.033659491,16,10.71154599,24,16.06731898,32,21.42309198,40,26.77886497,34.21,51.1
FLPT_MPK_0350.JPG,3422,5133,2,3,12,8,16,10.66666667,24,16,32,21.33333333,40,26.66666667,34.22,51.33
