id,Width,height,Ratio(Width),Ratio(Height),Width Max 100 DPI(Inches),Height Max 100 DPI(Inches)
FLPT_CS_999A.JPG,4093,5100,4093,5100,40.93,51
FLPT_SI_0188.JPG,5120,3413,5120,3413,51.2,34.13
FLPT_TH_0147.JPG,5142,3428,3,2,51.42,34.28
FLPT_KB_0043.JPG,5144,3420,1286,855,51.44,34.2
FLPT_MPK_0434.JPG,3422,5133,2,3,34.22,51.33
FLPT_RE_0227.JPG,3437,5130,3437,5130,34.37,51.3
FLPT_VG_0093.JPG,3479,5100,3479,5100,34.79,51
FLPT_CS_C09_4676.JPG,3427,5150,3427,5150,34.27,51.5
FLPT_MAM_0059.JPG,5146,3418,2573,1709,51.46,34.18
FLPT_MAM_0333.JPG,3432,5167,3432,5167,34.32,51.67
FLPT_CS_2664.JPG,5151,3393,1717,1131,51.51,33.93
FLPT_SI_0115.JPG,3442,5119,3442,5119,34.42,51.19
FLPT_CL_0076.JPG,4216,4216,1,1,42.16,42.16
FLPT_AB_0040.JPG,4323,4550,4323,4550,43.23,45.5
FLPT_MPK_0502.JPG,5133,3422,3,2,51.33,34.22
FLPT_GC_0443.JPG,3400,5175,136,207,34,51.75
FLPT_CL_0067.JPG,5192,3392,649,424,51.92,33.92
FLPT_AK_81.JPG,3422,5147,3422,5147,34.22,51.47
FLPT_PST_0153.JPG,5200,3374,2600,1687,52,33.74
FLPT_CS_2981.JPG,3495,5050,699,1010,34.95,50.5
FLPT_SI_0111.JPG,4520,4550,452,455,45.2,45.5
FLPT_SI_0160.JPG,3482,5058,1741,2529,34.82,50.58
FLPT_CS_C08_2201.JPG,3421,5110,3421,5110,34.21,51.1
FLPT_CS_2958.JPG,5219,3385,5219,3385,52.19,33.85
FLPT_JN_0059.JPG,3434,5112,1717,2556,34.34,51.12
FLPT_CS_1027.JPG,3401,5136,3401,5136,34.01,51.36
FLPT_JP_0073.JPG,3586,5100,1793,2550,35.86,51
FLPT_CS_1781.JPG,3431,5106,3431,5106,34.31,51.06
FLPT_JBE_0209.JPG,3618,4864,1809,2432,36.18,48.64
FLPT_VG_67.JPG,5162,3449,5162,3449,51.62,34.49
FLPT_SI_0446.JPG,3420,5130,2,3,34.2,51.3
FLPT_GP_0578.JPG,3413,5120,3413,5120,34.13,51.2
FLPT_MPK_0966.JPG,3400,5100,2,3,34,51
FLPT_SI_0166.JPG,5100,5100,1,1,51,51
FLPT_PST_0102.JPG,3390,5172,565,862,33.9,51.72
FLPT_IR_0093.JPG,5100,3475,204,139,51,34.75
FLPT_BA_0065.JPG,3800,5100,38,51,38,51
FLPT_CS_C09_4902.JPG,3427,5150,3427,5150,34.27,51.5
FLPT_CS_2362.JPG,5100,3536,75,52,51,35.36
FLPT_SI_0225.JPG,5120,3413,5120,3413,51.2,34.13
FLPT_MPK_0883.JPG,3400,5100,2,3,34,51
FLPT_SK_0116.JPG,5100,3467,5100,3467,51,34.67
FLPT_SUB_0147.JPG,5180,3375,1036,675,51.8,33.75
FLPT_SI_0273.JPG,5120,3414,2560,1707,51.2,34.14
FLPT_TH_0077.JPG,5194,3368,2597,1684,51.94,33.68
FLPT_CS_C08_7872.JPG,5150,3448,2575,1724,51.5,34.48
FLPT_CS_1346.JPG,5100,3478,2550,1739,51,34.78
FLPT_DR_0128.JPG,5189,3368,5189,3368,51.89,33.68
FLPT_SK_0422.JPG,3427,5120,3427,5120,34.27,51.2
FLPT_SI_0086.JPG,3454,5133,3454,5133,34.54,51.33
FLPT_CS_2296.JPG,5107,3435,5107,3435,51.07,34.35
FLPT_DZ_0680.JPG,5120,3413,5120,3413,51.2,34.13
FLPT_CS_230.JPG,5174,3461,5174,3461,51.74,34.61
FLPT_MH_0060.JPG,3636,5100,303,425,36.36,51
FLPT_CS_2640.JPG,3420,5170,342,517,34.2,51.7
FLPT_FC_0012.JPG,3420,5144,855,1286,34.2,51.44
FLPT_MPK_0202.JPG,5132,3422,2566,1711,51.32,34.22
FLPT_PT_0108.JPG,2821,6243,2821,6243,28.21,62.43
FLPT_AMF_0089.JPG,3407,5130,3407,5130,34.07,51.3
FLPT_SI_0632.JPG,3420,5130,2,3,34.2,51.3
FLPT_LB_0181.JPG,3494,5044,1747,2522,34.94,50.44
FLPT_MAM_0657.JPG,3432,5167,3432,5167,34.32,51.67
FLPT_SK_0695.JPG,3631,4813,3631,4813,36.31,48.13
FLPT_CS_C08_0826.JPG,5150,3448,2575,1724,51.5,34.48
FLPT_NM_44.JPG,4278,4550,2139,2275,42.78,45.5
FLPT_CS_2109.JPG,3460,5086,1730,2543,34.6,50.86
FLPT_MPK_06X.JPG,5235,3437,5235,3437,52.35,34.37
FLPT_MAM_0681.JPG,3432,5167,3432,5167,34.32,51.67
FLPT_MAM_0423.JPG,3432,5167,3432,5167,34.32,51.67
FLPT_MAM_0445.JPG,5167,3432,5167,3432,51.67,34.32
FLPT_FL_0059.JPG,5123,3429,5123,3429,51.23,34.29
FLPT_SK_0743.JPG,5146,3418,2573,1709,51.46,34.18
FLPT_AMF_0109.JPG,3407,5130,3407,5130,34.07,51.3
FLPT_CS_C06_2575.JPG,5150,3448,2575,1724,51.5,34.48
FLPT_MH_0088A.JPG,3687,5100,1229,1700,36.87,51
FLPT_CS_2917.JPG,3360,5212,840,1303,33.6,52.12
FLPT_PST_0148.JPG,5200,3371,5200,3371,52,33.71
FLPT_CS_F234.JPG,5027,3501,5027,3501,50.27,35.01
FLPT_DR_0129.JPG,5189,3368,5189,3368,51.89,33.68
FLPT_GP_0198.JPG,5100,3459,1700,1153,51,34.59
FLPT_PT_0188.JPG,3452,5197,3452,5197,34.52,51.97
FLPT_SI_0285.JPG,3413,5120,3413,5120,34.13,51.2
FLPT_PP_0195.JPG,5137,3425,5137,3425,51.37,34.25
FLPT_DR_25.JPG,5201,3392,5201,3392,52.01,33.92
FLPT_RD_0039.JPG,4153,4216,4153,4216,41.53,42.16
FLPT_PT_0099.JPG,6314,2797,6314,2797,63.14,27.97
FLPT_AKC_0015.JPG,4058,5100,2029,2550,40.58,51
FLPT_MO_FV08.JPG,3721,5100,3721,5100,37.21,51
FLPT_CS_C08_0987.JPG,5100,3807,1700,1269,51,38.07
FLPT_CS_543.JPG,4523,4550,4523,4550,45.23,45.5
FLPT_JOC_0057.JPG,3471,5100,1157,1700,34.71,51
FLPT_GO_36A.JPG,3511,5100,3511,5100,35.11,51
FLPT_SK_0554.JPG,3560,5100,178,255,35.6,51
FLPT_CS_C07_7055.JPG,5150,3448,2575,1724,51.5,34.48
FLPT_MAM_0030.JPG,5143,3420,5143,3420,51.43,34.2
FLPT_MPK_0810.JPG,5130,3408,855,568,51.3,34.08
FLPT_CS_2542.JPG,4554,3866,2277,1933,45.54,38.66
FLPT_GP_0490.JPG,5120,3413,5120,3413,51.2,34.13
FLPT_CS_38.JPG,5100,4294,2550,2147,51,42.94
FLPT_CS_2595.JPG,5124,3433,5124,3433,51.24,34.33
FLPT_SI_0377.JPG,5100,3425,204,137,51,34.25
FLPT_CS_C08_7859.JPG,5150,3448,2575,1724,51.5,34.48
FLPT_CS_C08_0447.JPG,5150,3448,2575,1724,51.5,34.48
FLPT_SI_0047.JPG,3462,5100,577,850,34.62,51
FLPT_MPK_0333.JPG,3422,5132,1711,2566,34.22,51.32
FLPT_SI_0531.JPG,5130,3420,3,2,51.3,34.2
FLPT_JLP_0060.JPG,5110,3421,5110,3421,51.1,34.21
FLPT_ASH_FV24.JPG,3416,5119,3416,5119,34.16,51.19
FLPT_SK_0282.JPG,3429,5123,3429,5123,34.29,51.23
FLPT_SK_0538.JPG,3407,5130,3407,5130,34.07,51.3
FLPT_CS_2715.JPG,5199,3367,5199,3367,51.99,33.67
FLPT_GP_0209.JPG,5133,3422,3,2,51.33,34.22
FLPT_SK_0354.JPG,3421,5110,3421,5110,34.21,51.1
FLPT_MAM_0617.JPG,5167,3432,5167,3432,51.67,34.32
FLPT_SI_0402.JPG,5130,3420,3,2,51.3,34.2
FLPT_CS_2514.JPG,5111,3421,5111,3421,51.11,34.21
FLPT_CS_C08_7292.JPG,3763,5150,3763,5150,37.63,51.5
FLPT_CS_2049.JPG,3379,5215,3379,5215,33.79,52.15
FLPT_PST_0054.JPG,3430,5093,3430,5093,34.3,50.93
FLPT_CS_2355.JPG,5100,3544,1275,886,51,35.44
FLPT_RF_0134.JPG,3420,5130,2,3,34.2,51.3
FLPT_CS_2344.JPG,5344,3275,5344,3275,53.44,32.75
FLPT_CS_689.JPG,3411,5165,3411,5165,34.11,51.65
FLPT_DZ_0660.JPG,4756,3700,1189,925,47.56,37
FLPT_PT_0008.JPG,5100,3670,510,367,51,36.7
FLPT_LB_0090.JPG,5100,4381,5100,4381,51,43.81
FLPT_SI_0653.JPG,3413,5120,3413,5120,34.13,51.2
FLPT_CS_C08_0924.JPG,3421,5110,3421,5110,34.21,51.1
FLPT_CS_C08_2236.JPG,5110,3420,511,342,51.1,34.2
FLPT_CS_C08_2287.JPG,3448,5150,1724,2575,34.48,51.5
FLPT_MPK_0636.JPG,5150,3433,5150,3433,51.5,34.33
FLPT_MH_0087.JPG,4015,4550,803,910,40.15,45.5
FLPT_SK_0438.JPG,3427,5120,3427,5120,34.27,51.2
FLPT_MPK_0828.JPG,3468,5100,17,25,34.68,51
FLPT_AKU_0148.JPG,5123,3412,5123,3412,51.23,34.12
FLPT_SK_0203.JPG,3429,5123,3429,5123,34.29,51.23
FLPT_SI_0197.JPG,3413,5120,3413,5120,34.13,51.2
FLPT_LB_0263.JPG,3413,5120,3413,5120,34.13,51.2
FLPT_CS_C07_6255.JPG,5150,3448,2575,1724,51.5,34.48
FLPT_CS_D026.JPG,5150,3448,2575,1724,51.5,34.48
FLPT_DZ_0565.JPG,3596,5100,899,1275,35.96,51
FLPT_CS_1297.JPG,5186,3474,2593,1737,51.86,34.74
FLPT_AKC_0041.JPG,4532,4550,2266,2275,45.32,45.5
FLPT_SK_0542.JPG,3407,5130,3407,5130,34.07,51.3
FLPT_SK_0728.JPG,2848,4288,89,134,28.48,42.88
FLPT_PST_0059.JPG,3484,5048,871,1262,34.84,50.48
FLPT_TH_0115.JPG,5142,3428,3,2,51.42,34.28
FLPT_JBE_0197.JPG,3438,5119,3438,5119,34.38,51.19
FLPT_DZ_0449.JPG,3587,5100,211,300,35.87,51
FLPT_GP_0563.JPG,5120,3413,5120,3413,51.2,34.13
FLPT_CS_C08_9884.JPG,3448,5150,1724,2575,34.48,51.5
FLPT_CS_C06_2404.JPG,3448,5150,1724,2575,34.48,51.5
FLPT_CS_263.JPG,3405,5148,1135,1716,34.05,51.48
FLPT_CS_C08_5247.JPG,5150,3448,2575,1724,51.5,34.48
FLPT_AKU_0165.JPG,4986,3528,277,196,49.86,35.28
FLPT_NP_0057.JPG,4198,4198,1,1,41.98,41.98
FLPT_GP_0243.JPG,3422,5132,1711,2566,34.22,51.32
FLPT_AKU_0142.JPG,4431,3959,4431,3959,44.31,39.59
FLPT_GC_0433.JPG,3471,5100,1157,1700,34.71,51
FLPT_MPK_0688.JPG,5100,3459,1700,1153,51,34.59
FLPT_PT_0100.JPG,2768,6373,2768,6373,27.68,63.73
FLPT_TIS_204.JPG,5100,4052,1275,1013,51,40.52
FLPT_PP_0164.JPG,5137,3425,5137,3425,51.37,34.25
FLPT_AMF_0062.JPG,5100,5100,1,1,51,51
FLPT_SI_0662.JPG,3413,5120,3413,5120,34.13,51.2
FLPT_CS_1539.JPG,3419,5266,3419,5266,34.19,52.66
FLPT_LB_0272.JPG,3413,5120,3413,5120,34.13,51.2
FLPT_GP_0479.JPG,3613,5100,3613,5100,36.13,51
FLPT_CS_2446.JPG,5100,3480,85,58,51,34.8
FLPT_MPK_0507.JPG,5077,3456,5077,3456,50.77,34.56
FLPT_CS_C07_5709.JPG,3350,5212,1675,2606,33.5,52.12
FLPT_DZ_0544.JPG,3537,5100,1179,1700,35.37,51
FLPT_CS_1548.JPG,3486,5044,1743,2522,34.86,50.44
FLPT_AMF_0110.JPG,3407,5130,3407,5130,34.07,51.3
FLPT_CS_C07_5241.JPG,5150,3448,2575,1724,51.5,34.48
FLPT_JN_0073.JPG,4352,5100,64,75,43.52,51
FLPT_PT_0509.JPG,5130,3407,5130,3407,51.3,34.07
FLPT_CL_0088.JPG,5120,3413,5120,3413,51.2,34.13
FLPT_SI_0904.JPG,3413,5120,3413,5120,34.13,51.2
FLPT_CS_C08_7278.JPG,3448,5150,1724,2575,34.48,51.5
FLPT_AKC_0012.JPG,3824,5100,956,1275,38.24,51
FLPT_SI_0475.JPG,3420,5130,2,3,34.2,51.3
FLPT_MH_0095.JPG,4182,4550,2091,2275,41.82,45.5
FLPT_GP_0437.JPG,5130,3420,3,2,51.3,34.2
FLPT_NM_37.JPG,5100,4181,5100,4181,51,41.81
FLPT_MAM_0464.JPG,3432,5167,3432,5167,34.32,51.67
FLPT_JP_0130.JPG,3420,5142,570,857,34.2,51.42
FLPT_DM_0035.JPG,3719,4728,3719,4728,37.19,47.28
FLPT_MAM_0298.JPG,3432,5167,3432,5167,34.32,51.67
FLPT_CS_C07_4420.JPG,3448,5150,1724,2575,34.48,51.5
FLPT_RE_0263.JPG,3543,5305,3543,5305,35.43,53.05
FLPT_JP_0111.JPG,3643,4828,3643,4828,36.43,48.28
FLPT_CL_0084.JPG,3416,5133,3416,5133,34.16,51.33
FLPT_CGS_0071.JPG,5145,3424,5145,3424,51.45,34.24
FLPT_CS_2707.JPG,5007,3489,1669,1163,50.07,34.89
FLPT_CS_2419.JPG,5183,3379,5183,3379,51.83,33.79
FLPT_SI_0182.JPG,5120,3413,5120,3413,51.2,34.13
FLPT_BK_59.JPG,4550,4501,650,643,45.5,45.01
FLPT_CS_T016_005.JPG,3849,5150,3849,5150,38.49,51.5
FLPT_MAM_0240.JPG,3432,5167,3432,5167,34.32,51.67
FLPT_CS_1113.JPG,5237,3426,5237,3426,52.37,34.26
FLPT_MAM_0263.JPG,3432,5167,3432,5167,34.32,51.67
FLPT_CGS_0059.JPG,3381,5204,3381,5204,33.81,52.04
FLPT_RF_0090.JPG,3990,5100,133,170,39.9,51
FLPT_SK_0188.JPG,3429,5123,3429,5123,34.29,51.23
FLPT_CS_C08_0072.JPG,3421,5110,3421,5110,34.21,51.1
FLPT_SI_0780.JPG,5120,3413,5120,3413,51.2,34.13
FLPT_MAM_0238.JPG,5167,3432,5167,3432,51.67,34.32
FLPT_RE_0142.JPG,3419,5148,263,396,34.19,51.48
FLPT_SS_35.JPG,5154,3421,5154,3421,51.54,34.21
FLPT_MH_0110.JPG,4550,4550,1,1,45.5,45.5
FLPT_JLP_0064.JPG,5160,3394,2580,1697,51.6,33.94
FLPT_MPK_0918.JPG,5100,3400,3,2,51,34
FLPT_PT_0098.JPG,2930,5992,1465,2996,29.3,59.92
FLPT_SI_0577.JPG,5120,3413,5120,3413,51.2,34.13
FLPT_PP_0180.JPG,3425,5138,3425,5138,34.25,51.38
FLPT_SK_0352.JPG,5110,3421,5110,3421,51.1,34.21
