id,Size 1,Our Actual Size,Size 2,Our Actual Size,Size 3,Our Actual Size,Size 4,Our Actual Size,Size 5,Our Actual Size
FLPT_MAM_0688.JPG,12,18.06643357,16,24.08857809,24,36.13286713,32,48.17715618,40,60.22144522
FLPT_SK_0246.JPG,12,17.92825897,16,23.90434529,24,35.85651794,32,47.80869058,40,59.76086323
FLPT_TH_0133.JPG,12,12,16,16,24,24,32,32,40,40
FLPT_CS_1429.JPG,12,7.760424564,16,10.34723275,24,15.52084913,32,20.6944655,40,25.86808188
FLPT_MAM_0570.JPG,12,15.71748023,16,20.95664031,24,31.43496046,32,41.91328061,40,52.39160076
FLPT_CS_2440.JPG,12,7.86119144,16,10.48158859,24,15.72238288,32,20.96317717,40,26.20397147
FLPT_JBE_0207.JPG,12,8.576470588,16,11.43529412,24,17.15294118,32,22.87058824,40,28.58823529
FLPT_CS_2023.JPG,12,8.138823529,16,10.85176471,24,16.27764706,32,21.70352941,40,27.12941176
FLPT_CS_691.JPG,12,7.979033197,16,10.63871093,24,15.95806639,32,21.27742186,40,26.59677732
FLPT_LB_0207.JPG,12,18,16,24,24,36,32,48,40,60
FLPT_GP_0296.JPG,12,8,16,10.66666667,24,16,32,21.33333333,40,26.66666667
FLPT_CS_1979.JPG,12,17.92631579,16,23.90175439,24,35.85263158,32,47.80350877,40,59.75438596
FLPT_SK_0202.JPG,12,8.032012493,16,10.70934999,24,16.06402499,32,21.41869998,40,26.77337498
FLPT_CS_2673.JPG,12,18.48177778,16,24.64237037,24,36.96355556,32,49.28474074,40,61.60592593
FLPT_CS_2062.JPG,12,17.51072961,16,23.34763948,24,35.02145923,32,46.69527897,40,58.36909871
FLPT_CS_2572.JPG,12,18.01405152,16,24.01873536,24,36.02810304,32,48.03747073,40,60.04683841
FLPT_MPK_89.JPG,12,7.744827586,16,10.32643678,24,15.48965517,32,20.65287356,40,25.81609195
FLPT_LB_0138.JPG,12,8.001560671,16,10.66874756,24,16.00312134,32,21.33749512,40,26.6718689
FLPT_AKC_0006.JPG,12,11.95516484,16,15.94021978,24,23.91032967,32,31.88043956,40,39.85054945
FLPT_MPK_0612.JPG,12,17.43093136,16,23.24124181,24,34.86186272,32,46.48248362,40,58.10310453
FLPT_PP_0205.JPG,12,17.99124088,16,23.98832117,24,35.98248175,32,47.97664234,40,59.97080292
FLPT_PD_66.JPG,12,8.484705882,16,11.31294118,24,16.96941176,32,22.62588235,40,28.28235294
FLPT_TH_0083.JPG,12,18,16,24,24,36,32,48,40,60
FLPT_SI_0627.JPG,12,18,16,24,24,36,32,48,40,60
FLPT_CS_X19.JPG,12,7.941792782,16,10.58905704,24,15.88358556,32,21.17811409,40,26.47264261
FLPT_GP_0222.JPG,12,18.58649289,16,24.78199052,24,37.17298578,32,49.56398104,40,61.9549763
FLPT_CS_C07_5316.JPG,12,8.034174757,16,10.71223301,24,16.06834951,32,21.42446602,40,26.78058252
FLPT_CS_549.JPG,12,9.185882353,16,12.24784314,24,18.37176471,32,24.49568627,40,30.61960784
FLPT_AB_05.JPG,12,11.9789011,16,15.97186813,24,23.9578022,32,31.94373626,40,39.92967033
